Incident_ID,Downtime_Minutes,MTTR_Minutes,Impacted_Txns_Count,Financial_Loss_AUD
INC-1059,24.38,82.51,306,556.82
INC-1060,166.82,175.67,5659,8539.58
INC-1061,57.5,111.55,2431,1190.66
INC-1062,12.33,0.0,251,279.36
INC-1063,41.82,59.67,1809,3317.05
INC-1064,73.39,107.93,1050,2040.27
INC-1065,115.45,142.97,5023,6257.63
INC-1066,89.02,139.5,2140,4099.82
INC-1067,51.47,34.82,807,2150.11
INC-1068,131.59,191.03,3754,10379.0
INC-1069,-26.28,14.29,11,0.0
INC-1070,115.01,91.26,2508,2290.47
INC-1071,51.66,73.14,1165,3255.79
INC-1072,74.54,80.91,2916,6197.4
INC-1073,95.63,80.02,2898,5361.52
INC-1074,96.46,83.17,2189,7847.76
INC-1075,183.56,158.26,5999,4030.82
INC-1076,150.86,120.6,5464,7025.85
INC-1077,95.11,105.53,2035,3416.31
INC-1078,101.67,142.41,2654,6865.23
INC-1079,137.04,168.37,2243,11558.52
INC-1080,3.89,0.0,71,138.78
INC-1081,58.67,85.84,2056,3659.71
INC-1082,120.14,159.91,2205,3814.72
INC-1083,70.95,135.93,2117,4002.43
INC-1084,113.33,132.87,4077,5621.52
INC-1085,27.78,42.2,440,2325.75
INC-1086,83.85,69.53,2620,4973.36
INC-1087,42.17,64.61,880,1767.74
INC-1088,4.51,0.0,200,117.76
INC-1089,162.73,172.75,4629,4655.09
INC-1090,99.54,129.58,3903,3342.56
INC-1091,197.77,184.68,6067,6981.76
INC-1092,107.35,72.52,1476,8112.32
INC-1093,157.42,212.13,5265,8836.95
INC-1094,85.7,71.12,3777,4593.15
INC-1095,124.0,185.52,4016,3243.43
INC-1096,105.01,144.83,4164,8002.64
INC-1097,58.03,109.85,2427,3887.25
INC-1098,42.25,67.03,841,971.49
INC-1099,82.72,118.66,1603,5457.96
INC-1100,51.65,63.76,1689,2838.09
INC-1101,114.15,136.81,2971,2732.51
INC-1102,109.17,123.68,4405,5373.88
INC-1103,92.17,129.62,3904,4700.43
INC-1104,0.0,20.86,13,0.0
INC-1105,67.64,80.94,1367,2000.91
INC-1106,21.26,86.45,815,1742.33
INC-1107,95.67,64.89,2054,7225.56
INC-1108,53.73,100.21,2137,3405.13
INC-1109,139.55,180.83,3691,6906.77
INC-1110,90.55,120.68,3132,4174.36
INC-1111,69.72,131.25,1080,4334.0
INC-1112,0.0,102.99,20,0.0
INC-1113,195.09,181.69,5343,10744.73
INC-1114,134.56,196.62,4291,3045.31
INC-1115,4.61,0.0,82,243.71
INC-1116,56.09,27.05,2070,4072.13
INC-1117,108.02,164.23,4441,5324.09
INC-1118,4.05,0.0,79,88.85
INC-1119,145.5,162.88,2254,10366.67
INC-1120,71.12,56.71,930,2273.82
INC-1121,13.23,0.0,446,473.85
INC-1122,123.42,160.29,4020,3642.13
INC-1123,71.41,129.76,2182,2900.96
INC-1124,77.12,131.8,1546,5341.78
INC-1125,85.04,113.05,2156,4534.91
INC-1126,117.38,99.49,3774,3780.55
INC-1127,12.32,0.0,355,953.52
INC-1128,95.84,115.07,4340,7428.93
INC-1129,163.2,191.63,2751,12551.6
INC-1130,102.77,162.9,3650,3544.04
INC-1131,116.46,128.7,3005,5677.51
INC-1132,170.04,213.26,4523,14384.03
INC-1133,67.35,80.95,2442,4734.07
INC-1134,0.0,99.13,22,0.0
INC-1135,115.76,153.26,5256,2346.95
INC-1136,162.24,215.22,2691,3703.69
INC-1137,69.26,51.11,1092,3435.5
INC-1138,52.68,102.95,1922,4188.28
INC-1139,32.8,-35.5,1037,1791.66
INC-1140,-18.68,42.85,11,0.0
INC-1141,29.28,85.77,437,1518.99
INC-1142,32.14,61.39,487,820.62
INC-1143,145.84,160.08,6149,9122.7
INC-1144,49.42,98.37,924,3639.99
INC-1145,132.73,176.77,3066,5839.48
INC-1146,128.3,166.37,2549,9049.3
INC-1147,53.24,79.36,1286,4430.35
INC-1148,41.33,101.58,604,1328.05
INC-1149,109.53,138.99,3246,5869.89
INC-1150,0.0,64.12,6,0.0
INC-1151,171.3,185.75,6686,6463.37
INC-1152,110.01,145.84,2211,7886.64
INC-1153,114.29,120.54,3467,6541.43
INC-1154,-42.28,32.61,27,0.0
INC-1155,128.76,189.86,4382,7862.37
INC-1156,130.55,144.95,3929,9403.51
INC-1157,134.95,109.32,3121,6078.07
INC-1158,82.5,132.32,1932,6591.61
INC-1159,190.35,156.64,6597,10325.13
INC-1160,87.03,99.05,3960,2528.8
INC-1161,177.68,233.71,6113,11581.12
INC-1162,31.66,92.66,979,2270.58
INC-1163,158.16,194.78,5805,6282.2
INC-1164,110.87,140.22,3086,8427.18
INC-1165,2.89,0.0,41,229.17
INC-1166,67.4,121.24,2094,2496.77
INC-1167,11.29,36.67,499,953.93
INC-1168,78.09,115.83,1417,2178.62
INC-1169,166.65,192.81,5890,5335.36
INC-1170,69.4,119.28,1319,2138.96
INC-1171,87.26,106.03,2634,6848.29
INC-1172,87.3,100.99,1355,5446.28
INC-1173,40.44,75.82,1105,1159.16
INC-1174,81.61,142.25,3064,3918.73
INC-1175,72.02,112.38,1721,4304.44
INC-1176,117.83,123.77,4066,2834.36
INC-1177,123.14,139.09,4786,9568.5
INC-1178,0.0,116.74,28,0.0
INC-1179,35.74,66.04,719,2588.0
INC-1180,24.99,90.6,640,1308.84
INC-1181,95.75,137.01,1665,7984.84
INC-1182,0.0,22.47,29,0.0
INC-1183,12.35,0.0,534,574.31
INC-1184,46.13,105.75,1399,3899.51
INC-1185,45.32,62.04,1832,2868.79
INC-1186,51.45,29.23,1528,3141.96
INC-1187,106.38,115.52,3524,3148.2
INC-1188,142.15,174.79,2171,11041.0
INC-1189,99.52,131.4,3734,4692.96
INC-1190,78.53,117.62,1300,2304.38
INC-1191,4.26,0.0,169,82.2
INC-1192,0.0,34.58,24,0.0
INC-1193,156.79,219.32,5640,8786.13
INC-1194,73.87,95.44,997,3979.0
INC-1195,119.82,149.76,2686,7998.54
INC-1196,49.73,35.52,1048,3890.42
INC-1197,11.89,0.0,289,282.77
INC-1198,11.11,0.0,169,750.7
INC-1199,49.99,34.11,2179,1551.43
INC-1200,49.72,95.62,1531,3782.53
INC-1201,13.85,25.31,311,1017.28
INC-1202,146.29,162.27,3739,8011.47
INC-1203,11.03,0.0,300,729.56
INC-1204,50.93,62.11,1648,2014.72
INC-1205,51.78,100.74,1528,2593.6
INC-1206,155.75,211.25,6698,11466.77
INC-1207,77.92,123.59,2251,3840.65
INC-1208,45.3,68.23,2058,1924.17
INC-1209,162.65,168.59,6625,8398.65
INC-1210,25.02,42.78,481,1853.15
INC-1211,15.0,31.15,650,614.39
INC-1212,109.47,140.18,1771,3297.03
INC-1213,162.03,216.76,6416,10736.39
INC-1214,98.68,81.85,2468,7293.88
INC-1215,74.95,115.9,3119,1889.33
INC-1216,56.0,99.0,2312,1935.22
INC-1217,109.14,84.9,4280,3054.11
INC-1218,84.53,107.54,3270,3534.56
INC-1219,15.05,0.0,338,732.8
INC-1220,140.12,153.77,2102,9630.96
INC-1221,157.92,192.63,4067,9818.61
INC-1222,162.35,216.01,2937,9764.6
INC-1223,82.68,89.19,2936,3481.82
INC-1224,56.11,94.11,1338,4205.62
INC-1225,118.03,138.82,5297,5912.94
INC-1226,43.4,-44.38,1462,3654.15
INC-1227,99.74,115.3,3966,6087.4
INC-1228,5.85,0.0,97,157.53
INC-1229,13.62,74.22,559,869.71
INC-1230,64.02,39.16,2760,2578.77
INC-1231,57.02,95.78,1628,3679.89
INC-1232,121.08,176.55,3941,2800.14
INC-1233,45.54,51.36,1723,1375.0
INC-1234,33.74,93.48,612,2561.3
INC-1235,180.99,155.6,5264,6100.29
INC-1236,112.44,157.92,2880,8394.47
INC-1237,40.27,100.88,692,1498.18
INC-1238,81.59,109.98,2005,5027.54
INC-1239,98.59,106.59,1437,6414.48
INC-1240,0.0,32.93,5,0.0
INC-1241,0.0,93.23,8,0.0
INC-1242,0.0,24.13,29,0.0
INC-1243,112.89,132.92,3460,5969.03
INC-1244,76.58,99.24,3412,2982.91
INC-1245,0.0,52.91,15,0.0
INC-1246,132.56,155.73,3011,4338.57
INC-1247,-24.04,36.55,17,0.0
INC-1248,-34.3,18.6,15,0.0
INC-1249,2.57,0.0,40,53.14
INC-1250,55.02,96.26,1854,2138.08
INC-1251,19.23,54.48,375,1198.22
INC-1252,10.27,0.0,338,836.57
INC-1253,67.24,119.15,2287,5174.21
INC-1254,28.6,38.31,497,1998.89
INC-1255,134.11,169.31,1924,9574.68
INC-1256,0.0,87.99,24,0.0
INC-1257,84.31,104.4,2331,5320.28
INC-1258,149.54,203.17,2129,5372.71
INC-1259,128.42,150.08,5846,10192.46
INC-1260,110.69,137.73,1575,7027.67
INC-1261,46.69,-10.47,1658,2618.54
INC-1262,171.8,204.0,7757,4450.13
INC-1263,41.93,79.95,850,2032.34
INC-1264,14.02,0.0,239,692.07
INC-1265,159.08,128.38,2601,12170.49
INC-1266,122.33,169.47,2743,6747.41
INC-1267,177.17,160.59,2777,7794.4
INC-1268,93.58,112.15,3314,7864.66
INC-1269,178.16,240.57,2562,4611.65
INC-1270,51.9,23.76,1521,2430.17
INC-1271,188.94,174.11,8613,4019.12
INC-1272,9.87,0.0,389,672.49
INC-1273,0.0,111.94,20,0.0
INC-1274,16.26,63.71,366,1302.41
INC-1275,60.97,122.18,2020,2271.41
INC-1276,196.02,161.83,5861,14914.7
INC-1277,91.0,148.43,2414,3464.59
INC-1278,176.45,158.11,2940,14046.87
INC-1279,174.03,162.84,7294,12021.74
INC-1280,10.26,0.0,280,743.84
INC-1281,49.54,62.0,931,973.91
INC-1282,23.56,70.94,579,1957.9
INC-1283,68.19,117.3,1781,4585.5
INC-1284,21.59,45.86,862,840.15
INC-1285,102.08,155.19,3756,7568.6
INC-1286,64.61,107.72,2454,2413.45
INC-1287,160.89,203.39,2038,12397.45
INC-1288,50.04,56.67,1311,1301.53
INC-1289,158.2,164.64,4489,10394.14
INC-1290,158.98,196.21,2057,8705.41
INC-1291,169.91,223.51,3564,4236.25
INC-1292,15.72,0.0,592,545.38
INC-1293,70.03,121.71,1182,1350.38
INC-1294,78.73,112.98,2376,3930.81
INC-1295,117.02,175.16,2280,4526.33
INC-1296,198.04,168.31,2516,11611.03
INC-1297,81.42,112.13,1657,3127.3
INC-1298,135.7,155.33,6092,5236.6
INC-1299,29.25,55.91,1142,1999.4
INC-1300,59.26,82.38,2628,1284.92
INC-1301,50.15,57.85,1434,3965.83
INC-1302,13.53,78.59,216,1023.94
INC-1303,83.11,111.57,2543,5260.29
INC-1304,150.94,135.16,4147,8797.51
INC-1305,-36.45,13.58,26,0.0
INC-1306,81.38,139.85,1267,6377.6
INC-1307,170.87,204.37,4888,5279.02
INC-1308,140.69,126.21,2435,3341.78
INC-1309,178.75,197.95,4137,6172.79
INC-1310,170.53,215.08,6297,12245.07
INC-1311,113.66,149.9,3205,2361.64
INC-1312,49.66,65.52,1234,2859.69
INC-1313,17.46,-36.18,444,1489.23
INC-1314,6.91,0.0,191,524.54
INC-1315,20.32,84.25,782,1086.41
INC-1316,160.52,221.94,6757,3647.57
INC-1317,179.39,195.09,7930,13324.5
INC-1318,77.76,128.9,3000,4562.29
INC-1319,128.65,143.13,2937,3366.48
INC-1320,148.99,167.75,5256,3687.88
INC-1321,80.42,56.56,2164,6395.92
INC-1322,111.15,151.48,2312,7045.44
INC-1323,26.03,84.4,1051,1929.78
INC-1324,0.0,43.41,5,0.0
INC-1325,65.84,33.06,2792,5100.85
INC-1326,172.72,230.16,4786,9818.18
INC-1327,147.92,192.81,4967,7868.83
INC-1328,104.01,114.44,3569,4925.21
INC-1329,79.83,107.58,3368,3171.88
INC-1330,54.59,103.62,1832,2600.29
INC-1331,122.51,110.21,4018,8626.67
INC-1332,47.88,94.47,695,2818.66
INC-1333,23.42,80.2,693,1835.73
INC-1334,94.55,128.85,1637,4559.48
INC-1335,111.06,166.23,4101,6576.54
INC-1336,6.88,0.0,202,418.6
INC-1337,150.69,126.1,5277,8767.52
INC-1338,55.83,114.27,764,3664.23
INC-1339,145.86,190.95,2207,5016.66
INC-1340,154.89,212.64,5610,8186.75
INC-1341,130.74,186.65,1922,3327.16
INC-1342,128.9,175.3,1892,5706.39
INC-1343,115.51,166.31,1467,5913.75
INC-1344,37.42,95.99,1655,2329.28
INC-1345,158.5,165.42,5853,13041.09
INC-1346,150.68,163.65,3631,8857.53
INC-1347,67.39,117.63,1496,4608.29
INC-1348,37.79,92.55,906,1981.93
INC-1349,151.75,187.68,5792,9261.32
INC-1350,11.58,34.14,398,268.81
INC-1351,10.54,0.0,194,374.51
INC-1352,177.06,220.53,3207,7569.04
INC-1353,54.6,98.2,851,2739.71
INC-1354,102.16,154.61,3509,2198.0
INC-1355,28.66,79.97,1084,798.26
INC-1356,102.38,165.94,2165,3791.96
INC-1357,68.53,112.05,890,5735.17
INC-1358,0.0,113.68,7,0.0
INC-1359,27.9,89.89,1245,1135.53
INC-1360,127.27,136.53,2821,6467.74
INC-1361,61.59,109.69,2339,1947.35
INC-1362,21.93,62.39,727,1304.04
INC-1363,69.21,112.02,1734,2581.39
INC-1364,0.0,20.22,10,0.0
INC-1365,158.44,222.63,2591,5125.46
INC-1366,-34.99,15.2,20,0.0
INC-1367,0.0,95.36,24,0.0
INC-1368,14.67,21.16,495,779.53
INC-1369,65.43,100.22,1963,1231.37
INC-1370,141.28,187.87,1935,2679.32
INC-1371,86.19,107.94,3848,2858.1
INC-1372,179.76,210.76,7006,3759.83
INC-1373,87.12,102.19,1923,2239.33
INC-1374,145.42,192.64,6548,5991.96
INC-1375,47.98,58.13,1554,3471.05
INC-1376,11.4,0.0,361,648.24
INC-1377,121.6,143.32,4533,6429.68
INC-1378,192.9,178.82,7602,7360.63
INC-1379,83.89,146.27,2871,6796.54
INC-1380,81.75,125.63,1355,3687.71
INC-1381,77.99,99.77,1840,1895.02
INC-1382,177.53,207.51,7686,10631.56
INC-1383,14.31,0.0,283,373.41
INC-1384,81.37,65.72,2012,3387.57
INC-1385,50.62,23.85,1353,2658.7
INC-1386,73.06,130.63,1970,5636.87
INC-1387,90.83,154.7,2976,4686.07
INC-1388,74.5,42.23,3263,4887.7
INC-1389,165.94,136.15,3375,14124.42
INC-1390,-35.44,35.05,8,0.0
INC-1391,32.78,39.9,619,894.22
INC-1392,166.81,209.36,6993,6154.99
INC-1393,169.02,146.56,5724,7596.74
INC-1394,30.41,43.15,664,1422.45
INC-1395,0.0,87.69,25,0.0
INC-1396,8.0,0.0,328,368.4
INC-1397,44.54,79.51,1807,3536.3
INC-1398,55.73,30.73,2395,3700.32
INC-1399,87.41,56.94,1811,5180.86
INC-1400,63.18,95.94,2370,2478.2
INC-1401,0.0,16.63,16,0.0
INC-1402,22.8,51.75,921,1681.9
INC-1403,8.68,0.0,317,716.81
INC-1404,112.35,135.19,4295,8268.23
INC-1405,11.6,0.0,396,215.24
INC-1406,156.51,208.96,2852,9575.96
INC-1407,17.23,51.52,525,377.06
INC-1408,0.0,26.46,29,0.0
INC-1409,51.59,116.58,2249,1844.26
INC-1410,34.69,70.1,476,778.69
INC-1411,0.0,80.58,9,0.0
INC-1412,0.0,89.47,8,0.0
INC-1413,105.5,111.24,3855,6223.96
INC-1414,65.92,102.47,2611,4255.43
INC-1415,25.42,51.84,493,664.42
INC-1416,16.14,26.06,471,713.79
INC-1417,77.88,91.08,3144,3822.84
INC-1418,106.84,153.81,3929,4618.9
INC-1419,169.65,154.33,5159,4508.76
INC-1420,71.71,58.81,2295,3340.42
INC-1421,144.26,116.1,4223,9938.3
INC-1422,15.86,77.79,352,368.24
INC-1423,19.32,57.3,602,460.47
INC-1424,130.86,188.83,4620,5531.83
INC-1425,131.72,185.49,5462,10759.8
INC-1426,68.12,122.69,2285,4315.04
INC-1427,3.24,0.0,122,207.43
INC-1428,162.4,200.76,2865,6943.08
INC-1429,149.24,181.82,4136,8702.83
INC-1430,119.75,156.83,1510,2290.85
INC-1431,158.98,146.66,3265,9723.83
INC-1432,20.74,40.88,758,1654.58
INC-1433,37.58,95.6,1707,2239.18
INC-1434,47.71,112.05,744,3679.34
INC-1435,97.92,83.05,2517,6566.98
INC-1436,144.55,189.65,5640,3837.15
INC-1437,8.93,0.0,170,705.91
INC-1438,131.71,103.23,4061,3017.7
INC-1439,49.28,114.86,1812,2676.2
INC-1440,175.97,220.56,5784,4926.19
INC-1441,37.21,-7.89,691,715.78
INC-1442,15.7,36.48,379,734.6
INC-1443,89.03,146.84,3425,3406.46
INC-1444,158.29,129.21,4877,8086.23
INC-1445,0.0,60.27,5,0.0
INC-1446,24.84,-44.51,936,1421.07
INC-1447,52.0,19.77,700,1112.13
INC-1448,108.73,140.48,4045,2904.14
INC-1449,133.61,168.28,2546,7477.19
INC-1450,180.92,147.84,8014,7507.04
INC-1451,82.09,104.03,2018,5534.02
INC-1452,111.05,171.53,2578,6913.02
INC-1453,0.0,37.61,8,0.0
INC-1454,116.25,159.7,2616,8745.76
INC-1455,134.95,148.08,5611,8765.12
INC-1456,132.01,192.29,6016,6246.7
INC-1457,41.0,60.56,1008,2609.23
INC-1458,175.39,191.52,4785,6479.23
INC-1459,155.53,190.54,5663,6068.62
INC-1460,52.47,110.43,2198,3747.95
INC-1461,86.09,122.46,2764,4169.09
INC-1462,101.37,76.09,2572,7304.85
INC-1463,38.26,67.13,997,2818.83
INC-1464,-15.33,36.27,22,0.0
INC-1465,65.7,117.76,815,4995.52
INC-1466,32.72,96.69,1079,2617.67
INC-1467,8.32,0.0,201,394.29
INC-1468,50.57,60.18,1963,2015.82
INC-1469,30.79,-18.48,474,1771.8
INC-1470,151.2,182.48,4830,6558.18
INC-1471,34.69,-33.27,983,2040.19
INC-1472,38.86,54.18,1311,2558.16
INC-1473,2.65,0.0,38,171.39
INC-1474,135.5,180.91,4291,5907.97
INC-1475,43.77,-37.23,1359,1297.98
INC-1476,109.86,167.67,3408,5202.97
INC-1477,45.44,57.38,1474,1273.46
INC-1478,12.28,-26.25,428,960.54
INC-1479,169.49,177.03,6641,7063.61
INC-1480,31.23,63.81,665,900.11
INC-1481,169.03,193.35,6736,3407.44
INC-1482,96.6,104.27,2795,5971.52
INC-1483,35.68,100.67,530,2184.26
INC-1484,174.33,179.78,2485,7203.59
INC-1485,0.0,115.77,13,0.0
INC-1486,118.99,176.78,4582,2768.36
INC-1487,87.69,124.11,3151,4029.93
INC-1488,0.0,66.95,24,0.0
INC-1489,11.22,0.0,331,441.49
INC-1490,34.21,41.18,923,2186.66
INC-1491,62.77,110.66,1081,3711.47
INC-1492,44.76,90.75,1041,1921.66
INC-1493,175.14,185.99,4693,5793.89
INC-1494,124.67,156.73,1902,10571.59
INC-1495,157.87,173.76,3105,7725.56
INC-1496,128.07,184.05,4134,8281.98
INC-1497,170.85,217.44,6299,4764.69
INC-1498,34.71,-39.76,1584,1772.2
INC-1499,-6.22,47.24,28,0.0
