Incident_SK,Incident_ID,Date_Key,Operation_Key,Limit_Key,Vendor_Key,Downtime_Minutes,MTTR_Minutes,Impacted_Txns_Count,Financial_Loss_AUD,Is_Peak_Hour,Incident_Classification,Is_Invalid_Column,Data_Quality_Case
35,INC-000035,20250630,5,5,2.0,13.4,4.7,937,33904.26,False,Network/Telco Failure,True,logging_error
36,INC-000036,20240616,8,8,4.0,35.1,27.9,603,13668.25,False,Third-Party/Vendor Outage,True,logging_error
37,INC-000037,20250123,3,3,3.0,20.9,24.0,910,13568.58,False,Software Deployment Bug,True,duplicate_source
38,INC-000037,20250123,3,3,3.0,20.9,23.0,910,13568.58,False,Software Deployment Bug,True,duplicate_source
39,INC-000038,20251017,6,6,4.0,13.7,0.0,938,38816.98,False,Network/Telco Failure,False,self_resolved
40,INC-000039,20251202,1,1,1.0,8.7,11.2,446,5389.43,False,Internal Infrastructure Failure,False,successful
41,INC-000040,20241128,3,3,2.0,0.0,0.0,264,3064.4,False,Third-Party/Vendor Outage,True,ghost_impact
42,INC-000041,20240822,8,8,4.0,14.0,11.2,218,3821.65,False,Third-Party/Vendor Outage,True,logging_error
43,INC-000042,20241119,1,1,2.0,22.4,1067.9,1551,18173.63,False,Third-Party/Vendor Outage,True,extended_mttr_outlier
44,INC-000043,20241001,2,2,7.0,12.8,13.8,777,30515.73,False,Third-Party/Vendor Outage,False,successful
45,INC-000044,20240804,7,7,8.0,36.8,45.0,653,16285.94,False,Software Deployment Bug,False,successful
46,INC-000045,20240805,10,10,1.0,36.7,40.7,1063,25763.23,True,Internal Infrastructure Failure,False,successful
47,INC-000046,20251102,2,2,3.0,8.2,15.1,503,17567.04,False,Third-Party/Vendor Outage,False,successful
48,INC-000047,20250209,3,3,2.0,7.7,8.0,400,4312.44,False,Third-Party/Vendor Outage,False,successful
49,INC-000048,20240526,1,1,7.0,52.5,72.8,2320,27200.95,False,Software Deployment Bug,False,successful
50,INC-000049,20240522,6,6,1.0,3.8,1.7,257,10522.56,False,Internal Infrastructure Failure,True,logging_error
51,INC-000050,20240909,4,4,1.0,3.4,6.5,329,9890.32,True,Internal Infrastructure Failure,False,successful
52,INC-000051,20250728,5,5,6.0,20.9,0.0,1319,47866.7,False,Software Deployment Bug,False,self_resolved
53,INC-000052,20250821,3,3,,3.2,5.2,343,3549.97,True,Internal Infrastructure Failure,True,missing_data
54,INC-000053,20250314,1,1,4.0,3104.1,21.9,239333,2964028.26,False,Data/Logging Anomaly,True,outlier_downtime
55,INC-000054,20250105,7,7,4.0,30.3,32.1,832,18942.96,True,Network/Telco Failure,True,missing_data
56,INC-000055,20240521,4,4,8.0,4.4,41.2,563,17912.04,True,Third-Party/Vendor Outage,False,successful
57,INC-000056,20240403,6,6,4.0,14.6,12.6,1134,35364.03,False,Third-Party/Vendor Outage,True,logging_error
58,INC-000057,20240422,9,9,2.0,41.4,17.1,522,8159.79,False,Network/Telco Failure,True,logging_error
59,INC-000058,20251004,3,3,5.0,8.8,27.2,541,7816.86,False,Network/Telco Failure,False,successful
60,INC-000059,20251127,1,1,5.0,52.4,64.8,2788,31850.75,False,Third-Party/Vendor Outage,False,successful
61,INC-000060,20250902,1,1,4.0,13.5,18.4,1460,18165.99,True,Third-Party/Vendor Outage,False,successful
62,INC-000061,20250129,3,3,4.0,0.0,0.0,129,1500.69,False,Third-Party/Vendor Outage,True,ghost_impact
63,INC-000062,20250902,5,5,7.0,5.4,25.5,231,8759.64,False,Third-Party/Vendor Outage,False,successful
64,INC-000063,20250625,3,3,7.0,8.9,10.3,642,7389.54,False,Software Deployment Bug,False,successful
65,INC-000064,20250720,2,2,4.0,5.7,10.0,428,14928.49,False,Third-Party/Vendor Outage,False,successful
66,INC-000065,20251127,9,9,1.0,14.9,34.6,369,5029.76,True,Internal Infrastructure Failure,False,successful
67,INC-000066,20240427,1,1,3.0,129.9,135.5,5769,78779.87,False,Software Deployment Bug,False,successful
68,INC-000067,20251018,8,8,3.0,10.7,20.7,163,3594.12,False,Software Deployment Bug,False,successful
69,INC-000068,20240424,4,4,2.0,9.9,18.2,424,13124.62,False,Software Deployment Bug,False,successful
70,INC-000069,20250321,5,5,4.0,7.3,5.0,664,19670.29,True,Network/Telco Failure,True,logging_error
71,INC-000070,20250409,6,6,7.0,39.2,39.4,3424,124821.68,True,Third-Party/Vendor Outage,False,successful
72,INC-000071,20240926,8,8,1.0,42.1,45.5,735,15430.79,False,Internal Infrastructure Failure,False,successful
73,INC-000072,20250527,2,2,5.0,7.4,12.7,508,19379.66,False,Network/Telco Failure,False,successful
74,INC-000073,20250603,2,2,7.0,3.4,23.1,384,12323.43,True,Third-Party/Vendor Outage,False,successful
75,INC-000074,20251002,5,5,7.0,0.0,9.8,0,0.0,False,Software Deployment Bug,True,false_alert
76,INC-000075,20251016,4,4,3.0,35.4,36.0,3679,151336.0,True,Network/Telco Failure,False,successful
77,INC-000076,20240605,5,5,3.0,22.9,23.3,2616,86274.2,True,Software Deployment Bug,False,successful
78,INC-000077,20240614,1,1,4.0,40.6,53.5,2102,27109.78,False,Third-Party/Vendor Outage,False,successful
79,INC-000078,20250905,1,1,4.0,72.8,84.2,5046,68231.72,False,Software Deployment Bug,False,successful
80,INC-000079,20250515,10,10,6.0,22.5,81.3,348,7398.9,False,Third-Party/Vendor Outage,False,successful
81,INC-000080,20240424,1,1,5.0,0.0,6.1,0,0.0,False,Software Deployment Bug,True,false_alert
82,INC-000081,20241110,2,2,8.0,21.7,34.7,1428,55342.9,False,Network/Telco Failure,False,successful
83,INC-000082,20240229,4,4,1.0,20.2,20.6,1643,47414.09,True,Internal Infrastructure Failure,False,successful
84,INC-000083,20240903,5,5,8.0,9.0,0.0,413,13814.05,False,Third-Party/Vendor Outage,False,self_resolved
85,INC-000084,20240328,3,3,3.0,28.0,30.0,1968,20449.72,False,Third-Party/Vendor Outage,False,successful
86,INC-000085,20240311,8,8,4.0,65.9,74.3,1052,22515.32,False,Network/Telco Failure,False,successful
87,INC-000086,20240511,2,2,4.0,50.4,71.4,4378,,True,Third-Party/Vendor Outage,True,missing_data
88,INC-000087,20250716,6,6,5.0,52.6,68.3,2949,95257.23,False,Network/Telco Failure,False,successful
89,INC-000088,20240928,1,1,6.0,9.4,9.4,411,5363.42,False,Third-Party/Vendor Outage,False,successful
90,INC-000089,20240804,1,1,3.0,21.6,967.6,1330,19007.23,False,Network/Telco Failure,True,extended_mttr_outlier
91,INC-000090,20251231,4,4,2.0,28.1,0.0,1805,70094.07,False,Software Deployment Bug,False,self_resolved
92,INC-000091,20250212,8,8,4.0,40.5,54.8,610,10689.29,False,Software Deployment Bug,False,successful
93,INC-000092,20250324,5,5,5.0,3.4,7.9,343,10581.01,True,Third-Party/Vendor Outage,False,successful
94,INC-000093,20240503,6,6,5.0,52.4,81.4,7251,280084.57,True,Network/Telco Failure,False,successful
95,INC-000094,20240818,6,6,4.0,3.0,4.4,227,6789.84,False,Third-Party/Vendor Outage,False,successful
96,INC-000095,20241212,4,4,6.0,10.0,0.0,762,23205.57,False,Third-Party/Vendor Outage,False,self_resolved
97,INC-000096,20250825,9,9,7.0,11.5,21.8,197,2502.74,False,Network/Telco Failure,False,successful
98,INC-000097,20250825,6,6,5.0,35.4,28.6,2456,90947.11,False,Network/Telco Failure,True,logging_error
99,INC-000098,20240108,1,1,5.0,23.6,25.9,2129,22820.3,True,Third-Party/Vendor Outage,False,successful
100,INC-000099,20251225,3,3,7.0,83.9,94.1,5810,85506.11,False,Third-Party/Vendor Outage,False,successful
101,INC-000100,20240822,6,6,5.0,8.2,11.6,1120,32728.01,True,Third-Party/Vendor Outage,False,successful
102,INC-000101,20240202,8,8,3.0,28.7,41.6,635,11516.34,True,Software Deployment Bug,False,successful
103,INC-000102,20240313,5,5,4.0,63.2,86.8,4436,163945.02,False,Network/Telco Failure,False,successful
104,INC-000103,20241012,5,5,3.0,39.9,41.3,2928,92541.95,False,Third-Party/Vendor Outage,False,successful
105,INC-000104,20240807,3,3,1.0,126.4,155.8,6216,82093.58,False,Internal Infrastructure Failure,False,successful
106,INC-000105,20250706,1,1,6.0,0.0,0.0,318,3823.4,False,Network/Telco Failure,True,ghost_impact
107,INC-000106,20250807,4,4,3.0,10.1,17.3,500,18671.74,False,Third-Party/Vendor Outage,False,successful
108,INC-000107,20240905,6,6,1.0,43.1,50.3,2709,101731.72,False,Internal Infrastructure Failure,False,successful
109,INC-000108,20250429,5,5,5.0,6.1,5.4,640,20137.72,True,Third-Party/Vendor Outage,True,logging_error
110,INC-000109,20240713,2,2,7.0,68.3,70.6,3801,140284.73,False,Third-Party/Vendor Outage,False,successful
111,INC-000110,20240409,4,4,7.0,9.9,10.4,1349,38693.76,True,Third-Party/Vendor Outage,False,successful
112,INC-000111,20241228,4,4,4.0,26.5,55.4,1666,53320.68,False,Third-Party/Vendor Outage,False,successful
113,INC-000112,20250224,3,3,1.0,7.6,18.1,383,5610.33,False,Internal Infrastructure Failure,False,successful
114,INC-000113,20250423,5,5,1.0,0.0,2.4,0,0.0,False,Internal Infrastructure Failure,True,false_alert
115,INC-000114,20240225,2,2,4.0,4.1,34.3,232,9465.9,False,Third-Party/Vendor Outage,True,duplicate_source
116,INC-000114,20240225,2,2,4.0,4.1,34.6,232,9465.9,False,Third-Party/Vendor Outage,True,duplicate_source
117,INC-000115,20240303,6,6,1.0,0.0,13.3,0,0.0,False,Internal Infrastructure Failure,True,false_alert
118,INC-000116,20250216,3,3,6.0,15.9,16.0,764,10231.19,False,Software Deployment Bug,False,successful
119,INC-000117,20240421,4,4,3.0,19.5,21.8,1972,71040.83,True,Network/Telco Failure,False,successful
120,INC-000118,20240715,6,6,2.0,60.6,61.1,3312,99083.78,False,Network/Telco Failure,False,successful
121,INC-000119,20250703,2,2,1.0,30.7,33.2,2563,79247.26,True,Internal Infrastructure Failure,False,successful
122,INC-000120,20250404,2,2,4.0,32.7,56.9,2081,83347.59,False,Network/Telco Failure,False,successful
123,INC-000121,20250308,2,2,3.0,8.9,21.0,637,21896.93,False,Network/Telco Failure,False,successful
124,INC-000122,20241012,1,1,5.0,0.0,3.2,0,0.0,False,Third-Party/Vendor Outage,True,false_alert
125,INC-000123,20240912,5,5,3.0,23.0,32.0,2403,92012.29,True,Third-Party/Vendor Outage,False,successful
126,INC-000124,20250329,3,3,1.0,5.0,23.0,482,5270.97,True,Internal Infrastructure Failure,False,successful
127,INC-000125,20250717,1,1,5.0,2706.3,29.3,146107,1980002.99,False,Data/Logging Anomaly,True,outlier_downtime
128,INC-000126,20240221,5,5,,25.2,36.4,2573,,True,Internal Infrastructure Failure,True,missing_data
129,INC-000127,20251029,7,7,5.0,3.4,14.1,106,2010.7,True,Third-Party/Vendor Outage,True,duplicate_source
130,INC-000127,20251029,7,7,5.0,3.4,12.5,106,2010.7,True,Third-Party/Vendor Outage,True,duplicate_source
131,INC-000128,20240405,2,2,6.0,10.9,13.3,492,20544.18,False,Network/Telco Failure,False,successful
132,INC-000129,20240619,3,3,1.0,109.7,125.0,8282,88020.54,False,Internal Infrastructure Failure,False,successful
133,INC-000130,20250220,3,3,1.0,3.5,4.8,267,3431.72,False,Internal Infrastructure Failure,False,successful
134,INC-000131,20250512,5,5,8.0,7.2,4.3,405,12344.1,False,Third-Party/Vendor Outage,True,logging_error
135,INC-000132,20240806,1,1,8.0,5.5,13.7,353,4593.9,False,Third-Party/Vendor Outage,False,successful
136,INC-000133,20240301,1,1,8.0,10.8,15.3,482,6671.7,False,Network/Telco Failure,False,successful
137,INC-000134,20250123,2,2,6.0,11.0,18.8,630,19201.68,False,Third-Party/Vendor Outage,False,successful
138,INC-000135,20250203,4,4,6.0,3.2,1.8,189,5411.57,False,Software Deployment Bug,True,logging_error
139,INC-000136,20250410,6,6,3.0,38.6,64.3,4138,123329.02,True,Software Deployment Bug,True,duplicate_source
140,INC-000136,20250410,6,6,3.0,38.6,64.1,4138,123329.02,True,Software Deployment Bug,True,duplicate_source
141,INC-000137,20250309,7,7,1.0,46.2,50.2,882,15862.45,False,Internal Infrastructure Failure,False,successful
142,INC-000138,20251214,5,5,6.0,54.0,59.0,3549,145516.32,False,Third-Party/Vendor Outage,False,successful
143,INC-000139,20240607,5,5,2.0,36.4,36.5,2782,107487.93,False,Network/Telco Failure,False,successful
144,INC-000140,20241030,3,3,2.0,42.1,42.7,1893,24426.78,False,Network/Telco Failure,False,successful
145,INC-000141,20240229,6,6,4.0,35.8,44.1,2803,117741.29,True,Third-Party/Vendor Outage,False,successful
146,INC-000142,20241117,3,3,4.0,6.0,0.0,325,4691.5,False,Third-Party/Vendor Outage,False,self_resolved
147,INC-000143,20240221,3,3,7.0,27.8,1037.6,2124,31391.93,True,Third-Party/Vendor Outage,True,extended_mttr_outlier
148,INC-000144,20250529,3,3,6.0,43.6,54.0,2861,31150.27,False,Network/Telco Failure,False,successful
149,INC-000145,20240228,10,10,3.0,76.8,82.2,910,18998.31,False,Third-Party/Vendor Outage,False,successful
150,INC-000146,20240709,6,6,4.0,34.5,0.0,1647,57284.14,False,Third-Party/Vendor Outage,False,self_resolved
151,INC-000147,20250901,2,2,6.0,11.2,0.0,769,30647.76,False,Third-Party/Vendor Outage,False,self_resolved
152,INC-000148,20251122,6,6,6.0,33.1,34.9,1828,60170.54,False,Network/Telco Failure,False,successful
153,INC-000149,20250217,3,3,6.0,8.4,3.2,553,5477.25,False,Third-Party/Vendor Outage,True,logging_error
154,INC-000150,20250806,1,1,2.0,31.3,32.2,2106,21601.65,False,Network/Telco Failure,False,successful
155,INC-000151,20250815,5,5,2.0,12.0,24.3,1520,53879.55,True,Third-Party/Vendor Outage,False,successful
156,INC-000152,20250926,2,2,5.0,32.1,15.4,1548,58040.73,False,Third-Party/Vendor Outage,True,logging_error
157,INC-000153,20250305,2,2,2.0,21.3,52.5,1431,52435.92,False,Software Deployment Bug,False,successful
158,INC-000154,20240924,6,6,4.0,0.0,4.4,0,0.0,False,Network/Telco Failure,True,false_alert
159,INC-000155,20251116,1,1,5.0,23.7,24.9,1555,22464.53,False,Software Deployment Bug,False,successful
160,INC-000156,20240901,1,1,1.0,15.3,30.2,728,10217.12,False,Internal Infrastructure Failure,False,successful
161,INC-000157,20240928,5,5,6.0,407.3,30.0,45576,1880522.3,True,Data/Logging Anomaly,True,outlier_downtime
162,INC-000158,20240514,4,4,3.0,7.7,0.0,750,24539.14,True,Software Deployment Bug,False,self_resolved
163,INC-000159,20250413,10,10,4.0,20.3,0.0,706,13089.93,True,Software Deployment Bug,False,self_resolved
164,INC-000160,20240315,4,4,5.0,7.0,30.3,462,16103.19,False,Third-Party/Vendor Outage,False,successful
165,INC-000161,20250414,5,5,5.0,7.9,3.6,681,22484.23,True,Third-Party/Vendor Outage,True,logging_error
166,INC-000162,20240316,4,4,3.0,33.6,40.1,1525,50778.45,False,Network/Telco Failure,False,successful
167,INC-000163,20250602,3,3,,8.0,13.9,564,7411.92,False,Internal Infrastructure Failure,True,missing_data
168,INC-000164,20240928,3,3,1.0,12.9,31.1,1399,17651.11,True,Internal Infrastructure Failure,False,successful
169,INC-000165,20240515,3,3,1.0,0.0,11.6,0,0.0,False,Internal Infrastructure Failure,True,false_alert
170,INC-000166,20241223,1,1,1.0,3.3,9.9,224,3163.66,False,Internal Infrastructure Failure,False,successful
171,INC-000167,20240311,6,6,6.0,100.4,84.4,11829,385366.7,True,Network/Telco Failure,True,logging_error
172,INC-000168,20250113,7,7,3.0,9.0,10.2,122,2695.03,False,Software Deployment Bug,False,successful
173,INC-000169,20240610,5,5,7.0,6.0,0.0,398,13148.43,False,Third-Party/Vendor Outage,False,self_resolved
174,INC-000170,20250710,1,1,3.0,12.2,28.3,1207,12399.86,True,Software Deployment Bug,False,successful
175,INC-000171,20250918,3,3,2.0,9.6,0.0,716,9457.28,False,Third-Party/Vendor Outage,False,self_resolved
176,INC-000172,20251114,1,1,3.0,-17.3,17.4,0,0.0,False,Data/Logging Anomaly,True,negative_downtime
177,INC-000173,20251110,1,1,4.0,75.4,85.8,5418,62110.29,False,Third-Party/Vendor Outage,False,successful
178,INC-000174,20240517,1,1,3.0,39.5,50.0,4518,46230.16,True,Software Deployment Bug,False,successful
179,INC-000175,20240428,8,8,2.0,37.8,38.1,1071,27040.54,True,Third-Party/Vendor Outage,False,successful
180,INC-000176,20250720,4,4,2.0,27.3,1428.3,3618,131028.07,True,Network/Telco Failure,True,extended_mttr_outlier
181,INC-000177,20241005,4,4,5.0,25.0,32.2,1263,44863.76,False,Software Deployment Bug,False,successful
182,INC-000178,20250911,3,3,7.0,25.1,25.7,1381,16794.81,False,Network/Telco Failure,False,successful
183,INC-000179,20241217,2,2,7.0,16.1,21.2,987,39699.87,False,Network/Telco Failure,False,successful
184,INC-000180,20251204,7,7,5.0,10.6,32.1,149,2810.34,False,Software Deployment Bug,False,successful
185,INC-000181,20250601,1,1,6.0,10.1,14.1,573,8328.89,False,Third-Party/Vendor Outage,False,successful
186,INC-000182,20240914,5,5,4.0,4.2,0.0,387,11284.9,True,Third-Party/Vendor Outage,False,self_resolved
187,INC-000183,20240404,6,6,7.0,42.1,64.8,5006,188744.33,True,Third-Party/Vendor Outage,False,successful
188,INC-000184,20241010,5,5,4.0,25.3,36.1,3271,137880.07,True,Third-Party/Vendor Outage,False,successful
189,INC-000185,20240104,6,6,2.0,21.0,24.4,2475,99278.75,True,Software Deployment Bug,False,successful
190,INC-000186,20240513,4,4,6.0,41.0,33.4,3074,105561.72,False,Software Deployment Bug,True,logging_error
191,INC-000187,20240614,5,5,7.0,15.4,16.6,838,25516.92,False,Third-Party/Vendor Outage,False,successful
192,INC-000188,20250718,5,5,8.0,0.0,0.0,253,9066.42,True,Third-Party/Vendor Outage,True,ghost_impact
193,INC-000189,20250728,2,2,8.0,3.7,7.6,158,6194.66,False,Third-Party/Vendor Outage,False,successful
194,INC-000190,20240424,3,3,4.0,41.6,74.7,3186,37566.8,False,Third-Party/Vendor Outage,False,successful
195,INC-000191,20251208,3,3,3.0,43.1,46.6,5238,55932.58,True,Network/Telco Failure,False,successful
196,INC-000192,20250712,5,5,8.0,6.6,20.2,326,12919.03,False,Third-Party/Vendor Outage,True,duplicate_source
197,INC-000192,20250712,5,5,8.0,6.6,19.4,326,12919.03,False,Third-Party/Vendor Outage,True,duplicate_source
198,INC-000193,20250113,3,3,4.0,20.2,22.3,2717,36073.46,True,Network/Telco Failure,False,successful
199,INC-000194,20250316,8,8,7.0,0.0,3.9,0,0.0,True,Network/Telco Failure,True,false_alert
200,INC-000195,20240212,7,7,5.0,23.5,43.6,323,7921.24,False,Software Deployment Bug,False,successful
201,INC-000196,20250108,4,4,2.0,25.5,28.3,2443,77563.47,True,Third-Party/Vendor Outage,False,successful
202,INC-000197,20250101,10,10,4.0,10.8,14.4,191,3700.84,False,Network/Telco Failure,False,successful
203,INC-000198,20251129,10,10,6.0,4.0,7.3,116,1980.63,True,Network/Telco Failure,False,successful
204,INC-000199,20251113,9,9,5.0,4.8,9.0,122,1323.71,True,Third-Party/Vendor Outage,False,successful
205,INC-000200,20241228,1,1,6.0,4.8,10.4,323,3259.42,False,Third-Party/Vendor Outage,False,successful
206,INC-000201,20250927,3,3,1.0,9.8,10.0,1275,15800.48,True,Internal Infrastructure Failure,False,successful
207,INC-000202,20240607,1,1,6.0,16.1,23.2,717,9571.37,False,Network/Telco Failure,False,successful
208,INC-000203,20240615,6,6,2.0,6.8,23.9,462,14862.78,False,Network/Telco Failure,False,successful
209,INC-000204,20250226,1,1,8.0,16.8,20.1,755,11220.76,False,Third-Party/Vendor Outage,False,successful
210,INC-000205,20240702,1,1,7.0,13.4,35.4,618,6448.4,False,Software Deployment Bug,False,successful
211,INC-000206,20250225,9,9,6.0,6.1,15.1,208,2429.34,True,Network/Telco Failure,False,successful
212,INC-000207,20240930,5,5,6.0,5.6,13.7,235,9516.01,False,Network/Telco Failure,False,successful
213,INC-000208,20251219,5,5,3.0,38.0,0.0,2627,75822.75,False,Third-Party/Vendor Outage,False,self_resolved
214,INC-000209,20250126,9,9,6.0,51.6,54.3,712,7951.59,False,Third-Party/Vendor Outage,False,successful
215,INC-000210,20250426,4,4,8.0,0.0,0.0,60,2298.41,False,Network/Telco Failure,True,ghost_impact
216,INC-000211,20240723,8,8,7.0,16.4,7.5,204,4076.06,False,Third-Party/Vendor Outage,True,logging_error
217,INC-000212,20241224,5,5,7.0,12.2,22.9,794,28931.61,False,Software Deployment Bug,False,successful
218,INC-000213,20240821,5,5,6.0,16.5,8.9,872,25559.65,False,Network/Telco Failure,True,logging_error
219,INC-000214,20240125,2,2,1.0,107.4,67.3,8233,241831.24,False,Internal Infrastructure Failure,True,logging_error
220,INC-000215,20251106,2,2,3.0,91.0,97.0,7845,293468.23,True,Network/Telco Failure,False,successful
221,INC-000216,20250212,9,9,2.0,61.7,0.0,924,10885.85,False,Software Deployment Bug,False,self_resolved
222,INC-000217,20241012,4,4,7.0,39.2,44.1,4062,116982.94,True,Third-Party/Vendor Outage,False,successful
223,INC-000218,20241012,4,4,6.0,13.9,22.5,902,31897.54,False,Software Deployment Bug,False,successful
224,INC-000219,20251018,9,9,5.0,24.4,56.2,297,4900.94,False,Third-Party/Vendor Outage,False,successful
225,INC-000220,20251126,9,9,1.0,30.9,33.2,904,12160.1,True,Internal Infrastructure Failure,False,successful
226,INC-000221,20250703,5,5,3.0,51.2,52.8,3099,122932.73,False,Software Deployment Bug,False,successful
227,INC-000222,20240129,2,2,6.0,35.2,38.9,3556,138454.54,True,Third-Party/Vendor Outage,False,successful
228,INC-000223,20240924,9,9,8.0,14.8,29.8,275,4380.63,False,Network/Telco Failure,False,successful
229,INC-000224,20250817,1,1,7.0,0.0,14.4,0,0.0,True,Software Deployment Bug,True,false_alert
230,INC-000225,20240209,4,4,8.0,0.0,0.0,338,13670.22,False,Third-Party/Vendor Outage,True,ghost_impact
231,INC-000226,20250902,2,2,5.0,18.6,22.8,2413,,True,Third-Party/Vendor Outage,True,missing_data
232,INC-000227,20241219,6,6,6.0,15.2,15.5,1057,29982.47,False,Software Deployment Bug,False,successful
233,INC-000228,20250322,4,4,4.0,77.9,0.0,7021,264374.9,True,Third-Party/Vendor Outage,False,self_resolved
234,INC-000229,20250129,7,7,6.0,54.1,67.2,1885,42877.36,True,Network/Telco Failure,False,successful
235,INC-000230,20240917,5,5,8.0,69.9,70.2,4449,145340.49,False,Third-Party/Vendor Outage,False,successful
236,INC-000231,20251226,6,6,2.0,7.4,8.2,343,10473.19,False,Third-Party/Vendor Outage,False,successful
237,INC-000232,20240102,3,3,7.0,45.7,55.4,5607,70722.15,True,Network/Telco Failure,True,duplicate_source
238,INC-000232,20240102,3,3,7.0,45.7,55.4,5607,70722.15,True,Network/Telco Failure,True,duplicate_source
239,INC-000233,20250107,3,3,5.0,29.8,57.9,1503,20569.78,False,Third-Party/Vendor Outage,False,successful
240,INC-000234,20240312,5,5,4.0,38.4,44.8,1794,72691.75,False,Software Deployment Bug,False,successful
241,INC-000235,20250930,3,3,5.0,21.7,0.0,2811,39543.35,True,Software Deployment Bug,False,self_resolved
242,INC-000236,20251110,5,5,5.0,63.1,67.6,7246,229465.87,True,Third-Party/Vendor Outage,False,successful
243,INC-000237,20241103,1,1,8.0,25.6,34.5,1258,,False,Software Deployment Bug,True,missing_data
244,INC-000238,20251113,6,6,7.0,19.1,20.7,880,30251.2,False,Third-Party/Vendor Outage,False,successful
245,INC-000239,20241130,6,6,2.0,32.6,40.6,2178,66347.29,False,Third-Party/Vendor Outage,False,successful
246,INC-000240,20251214,2,2,8.0,26.0,0.0,1342,38877.16,False,Software Deployment Bug,False,self_resolved
247,INC-000241,20250721,2,2,5.0,5.7,10.5,509,21030.17,True,Network/Telco Failure,False,successful
